project,symbol,chain,apy,tvlUsd
aave-v3,EURE,Gnosis,3.40829,3582232
morpho-blue,BBQUSDC,Arbitrum,3.4027,2456478
yearn-finance,USDC,Ethereum,3.39863,27534823
steakhouse-financial,HIGHYIELDTURBOAUSD,Ethereum,3.36163,1850126
morpho-blue,COMPUSDC,Polygon,3.33966,1548838
openeden-tbill,TBILL,Ethereum,3.33529,128576588
morpho-blue,ARMUSDCS,Ethereum,3.33387,30006117
morpho-blue,GTUSDCC,Arbitrum,3.32783,3428339
kamino-lend,USDS,Solana,3.32405,1349529
morpho-blue,ELLENUSDC,Ethereum,3.31644,3496473
morpho-blue,GUSDCQ,Ethereum,3.31091,24538218
morpho-blue,ARMUSDCP,Ethereum,3.30668,19998832
morpho-blue,GTUSDCP,Ethereum,3.30629,99441666
morpho-blue,STEAKUSDC,Ethereum,3.30495,59133728
curve-dex,USDC-USDF,Ethereum,3.29884,3575937
morpho-blue,BBQAUSD,Ethereum,3.27598,1041509
yearn-finance,USDC,Ethereum,3.26913,2662801
morpho-blue,KABUUSDC,Ethereum,3.26909,2049792
native-credit-pool,NUSDT,BSC,3.261,1812787
morpho-blue,CRONOSUSDC,Ethereum,3.24946,1524984
morpho-blue,GTUSDC,Ethereum,3.24632,43709209
morpho-blue,PCHYUSDC,Ethereum,3.24513,2823992
curve-dex,EUSD-USDC,Ethereum,3.23195,3307610
venus-core-pool,FDUSD,BSC,3.20753,6877186
termmax,USDC,Ethereum,3.19631,7310865
yearn-finance,USDC,Ethereum,3.19036,1589285
termmax,USDC,Ethereum,3.16248,2007124
hastra,WYLDS,Solana,3.16,1839083
compound-v3,USDC,Base,3.15906,1225406
blackrock-buidl,BUIDL,Arbitrum,3.15088,25515076
blackrock-buidl,BUIDL,OP Mainnet,3.1508,26166940
blackrock-buidl,BUIDL,Aptos,3.15073,559091190
blackrock-buidl,BUIDL,Ethereum,3.15073,158362973
blackrock-buidl,BUIDL,BSC,3.15073,110112272
circle-usyc,USYC,BSC,3.15045,2862631641
circle-usyc,USYC,Ethereum,3.15045,110495202
balancer-v3,AAVEUSDC-AAVEGHO,Base,3.14224,1372808
convex-finance,CRVUSD,Ethereum,3.13668,3642483
curve-llamalend,CRVUSD,Ethereum,3.1331,3726734
morpho-blue,GTMSUSDC,Ethereum,3.12417,14939105
morpho-blue,GTUSDC,Katana,3.11416,5226994
openeden-usdo,USDO,Ethereum,3.10377,33102748
openeden-usdo,CUSDO,Solana,3.10377,5693671
ember-protocol,USDC,Sui,3.09,1181189
morpho-blue,STEAKUSDC,Ethereum,3.0865,114520291
morpho-blue,VBSHUSDC,Ethereum,3.08217,23433419
morpho-blue,BBQUSDT,Ethereum,3.08024,3304120
multipli.fi,XUSDC,Ethereum,3.06,36538577
aegis-yusd,YUSD,Ethereum,3.06,34065291
multipli.fi,XUSDT,Ethereum,3.06,15598519
aegis-yusd,YUSD,BSC,3.06,1795120
aave-v3,USDC,Polygon,3.0516,11406323
aave-v3,USDC,Arbitrum,3.04081,21021502
tydro,USDC,Ink,3.03008,3317517
morpho-blue,STEAKUSDC,Katana,3.00458,32626912
